year,strategy,sessions,start_date,end_date,total_return,total_points,annual_volatility,sharpe,sortino,max_drawdown,avg_drawdown,ulcer_index,var_95_daily,cvar_95_daily,worst_day,best_day,win_rate,exposure,trades,exits
2008,Ito Bayes-GARCH,245,2008-01-02,2008-12-31,0.00%,0.00,0.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,-0.00%,-0.00%,0.00%,0.00%,0,0
2008,"MACD(6,26,12)",245,2008-01-02,2008-12-31,-11.96%,-126.26,22.57%,-0.467,-0.509,-28.59%,-14.10%,16.06%,-2.74%,-3.64%,-4.71%,4.54%,25.31%,48.98%,9,9
2008,Buy & Hold,245,2008-01-02,2008-12-31,-65.96%,-611.42,37.05%,-2.800,-5.134,-68.85%,-46.48%,49.36%,-4.22%,-4.47%,-4.69%,4.75%,44.08%,100.00%,1,0
2022,Ito Bayes-GARCH,249,2022-01-04,2022-12-30,-7.92%,-123.00,5.12%,-1.605,-0.660,-7.92%,-7.33%,7.40%,-0.05%,-0.72%,-2.94%,1.58%,2.41%,7.63%,6,6
2022,"MACD(6,26,12)",249,2022-01-04,2022-12-30,-9.16%,-99.06,15.06%,-0.570,-0.514,-21.27%,-6.49%,8.20%,-1.66%,-2.74%,-4.44%,4.22%,24.90%,50.60%,9,10
2022,Buy & Hold,249,2022-01-04,2022-12-30,-32.78%,-491.19,24.83%,-1.494,-1.914,-40.34%,-18.19%,21.50%,-3.22%,-4.06%,-4.95%,4.81%,49.40%,100.00%,1,0
2020,Ito Bayes-GARCH,252,2020-01-02,2020-12-31,18.53%,169.93,6.88%,2.505,1.715,-4.23%,-1.32%,0.70%,-0.42%,-1.00%,-2.69%,1.73%,19.44%,28.17%,4,3
2020,"MACD(6,26,12)",252,2020-01-02,2020-12-31,46.13%,321.09,13.62%,2.855,2.801,-9.17%,-3.44%,3.87%,-1.04%,-2.02%,-3.63%,4.98%,40.08%,61.11%,8,8
2020,Buy & Hold,252,2020-01-02,2020-12-31,14.87%,142.88,22.79%,0.723,0.736,-33.51%,-12.08%,13.52%,-2.83%,-4.16%,-6.28%,4.98%,61.90%,100.00%,1,0
2018,Ito Bayes-GARCH,248,2018-01-02,2018-12-28,3.88%,36.79,11.60%,0.392,0.202,-10.64%,-8.85%,9.16%,-0.70%,-2.14%,-5.10%,2.45%,17.34%,25.81%,1,2
2018,"MACD(6,26,12)",248,2018-01-02,2018-12-28,18.71%,178.33,12.30%,1.479,1.434,-8.52%,-2.65%,3.37%,-1.42%,-2.08%,-2.87%,2.70%,38.31%,59.27%,8,9
2018,Buy & Hold,248,2018-01-02,2018-12-28,-9.32%,-91.70,22.28%,-0.334,-0.428,-26.21%,-16.31%,17.00%,-2.57%,-3.52%,-5.10%,3.77%,56.05%,100.00%,1,0
2006,Ito Bayes-GARCH,249,2006-01-03,2006-12-29,28.43%,85.95,26.42%,1.090,1.242,-33.96%,-24.55%,23.44%,-3.14%,-4.05%,-4.84%,4.55%,26.91%,49.80%,5,4
2006,"MACD(6,26,12)",249,2006-01-03,2006-12-29,112.56%,415.80,22.80%,3.465,3.996,-13.69%,-5.37%,5.36%,-1.73%,-3.07%,-4.46%,4.78%,28.92%,48.19%,7,7
2006,Buy & Hold,249,2006-01-03,2006-12-29,144.48%,444.27,32.27%,2.969,4.547,-36.81%,-14.78%,15.18%,-3.50%,-4.15%,-4.84%,4.78%,57.03%,100.00%,1,0
